0   -3.24819   0
1   -3.24633   0.00186181
2   -3.24656   0.00110007
3   -3.24709   0.000940777
4   -3.24742   0.000799009
5   -3.24731   0.000661152
6   -3.24734   0.000559353
7   -3.24728   0.000487961
8   -3.24734   0.000434154
9   -3.24724   0.00040014
10   -3.24716   0.000371542
11   -3.24724   0.000350059
12   -3.24716   0.000331821
13   -3.24722   0.000312187
14   -3.24727   0.000294472
15   -3.24739   0.000303502
16   -3.24748   0.000298183
17   -3.2474   0.00029208
18   -3.24746   0.00028175
19   -3.24753   0.000278523
20   -3.24756   0.000266366
21   -3.24755   0.000254095
22   -3.24767   0.00026744
23   -3.24762   0.000260494
24   -3.24755   0.000258051
25   -3.2475   0.000253836
26   -3.24747   0.000245822
27   -3.24749   0.000237783
28   -3.24757   0.00024088
29   -3.24757   0.00023272
