0   179.21   0
1   180.689   1.47887
2   182.143   1.68637
3   182.745   1.33607
4   182.855   1.0407
5   183.634   1.15246
6   184.065   1.06516
7   183.391   1.14248
8   183.555   1.02088
9   183.865   0.96424
10   183.375   1.00015
11   183.096   0.954742
12   183.154   0.880171
13   183.28   0.824504
14   183.403   0.777419
15   183.388   0.727372
16   183.027   0.772699
17   182.948   0.732804
18   182.794   0.71008
19   182.468   0.748386
20   182.447   0.712164
21   182.362   0.684355
22   182.469   0.662667
23   182.555   0.640275
24   182.641   0.620083
25   182.513   0.60933
26   182.433   0.591771
27   182.295   0.586692
28   182.198   0.574251
29   182.203   0.554803
